geoid,total,hispanic,white,black,indian,asian,pacific
040130609034,930,140,555,75,25,95,35
040130609041,355,345,10,0,0,0,0
040130609042,1275,585,610,30,30,15,0
040130609043,695,280,335,45,30,0,0
040130610091,2285,765,1240,215,4,55,0
040130610092,1165,610,385,120,0,55,0
040130610093,3385,245,2770,140,0,125,0
040130610094,1170,90,945,40,0,30,0
040130610101,1375,335,955,0,10,80,0
040130610102,1755,30,1530,45,95,45,0
040130610103,1140,90,970,10,0,60,0
040130610111,1330,465,645,65,0,125,0
040130610112,3185,625,1765,555,15,150,0
040130610121,2175,510,1275,90,0,200,0
040130610122,855,175,585,80,15,0,0
040130610123,890,250,640,0,0,0,0
040130610124,1300,490,580,90,0,80,0
040130610131,1910,410,985,145,35,325,0
040130610132,2520,775,1075,320,50,150,0
040130610141,3255,1115,1450,400,10,70,90
040130610142,1285,240,820,195,10,0,0
040130610151,1785,520,1070,175,0,20,0
040130610152,450,215,175,45,0,4,0
040130610153,1390,415,840,115,0,0,10
040130610161,5265,1045,3005,415,310,440,0
040130610171,3580,840,2005,335,145,4,0
040130610181,2050,40,1940,70,0,0,0
040130610182,1175,25,1120,15,0,15,0
040130610183,985,20,940,15,0,10,0
040130610191,1880,865,710,190,10,75,10
040130610192,415,170,245,0,0,0,0
040130610193,1205,255,665,70,10,145,0
040130610201,745,120,495,25,25,80,0
040130610202,835,275,370,180,0,0,0
040130610203,765,125,390,50,10,40,70
040130610211,1240,350,600,135,4,95,10
040130610221,2580,670,1560,235,0,70,0
040130610222,2310,1050,1120,30,15,0,0
040130610223,2095,530,1250,125,10,145,10
040130610231,2190,1015,1035,60,50,0,0
040130610232,1860,640,700,245,0,135,50
040130610233,1225,280,805,140,0,0,0
040130610234,2195,745,1150,230,0,35,0
040130610241,1335,380,735,105,65,10,0
040130610251,3475,465,2420,245,0,265,0
040130610252,1435,115,1280,0,4,0,0
040130610253,2085,345,1560,105,0,20,0
040130610261,2125,360,1205,480,0,60,0
040130610262,1615,300,1200,10,0,90,0
040130610271,645,160,430,35,0,0,15
040130610272,1065,205,820,35,0,0,0
040130610273,1155,205,755,55,0,140,0
040130610274,890,145,640,105,0,0,0
040130610275,300,0,265,4,35,0,0
040130610281,2095,155,1775,105,0,50,0
040130610291,950,340,545,50,0,0,0
040130610292,870,170,610,45,25,0,0
040130610293,1165,210,880,25,4,0,0
040130610294,910,95,730,45,15,0,0
040130610301,1530,175,1335,0,0,0,0
040130610302,2070,265,1000,695,0,75,0
040130610303,1815,335,1330,75,0,35,15
040130610311,3520,750,2405,175,25,125,0
040130610321,1405,225,1120,50,0,0,0
040130610322,1625,200,1290,55,0,40,40
040130610323,705,55,500,145,0,0,0
040130610324,700,195,445,15,0,30,0
040130610331,1395,300,960,50,0,55,0
040130610332,1925,245,1365,230,0,40,10
040130610333,1475,270,1135,50,4,15,0
040130610341,1920,450,1065,290,0,115,0
040130610342,920,250,495,55,4,95,0
040130610343,1905,205,1125,280,0,220,0
040130610344,470,180,280,4,0,0,0
040130610351,1640,345,945,150,0,75,0
040130610352,1190,370,680,120,0,0,0
040130610353,1680,195,1205,120,0,75,0
040130610354,605,150,410,0,0,20,0
040130610361,1085,175,725,70,0,90,0
040130610362,1700,395,1020,180,0,80,0
040130610371,2415,550,1445,240,0,130,4
040130610372,1505,200,1120,70,10,65,20
040130610381,1200,330,805,50,0,0,0
040130610382,825,140,640,25,0,0,0
040130610383,1190,230,795,45,95,10,0
040130610391,1300,165,875,130,4,90,0
040130610392,515,90,355,50,0,0,0
040130610393,1110,240,780,55,0,15,0
040130610401,1125,335,725,45,0,10,0
040130610402,735,285,410,20,0,20,0
040130610403,1270,365,650,235,10,0,0
040130610411,445,190,205,10,25,15,0
040130610412,385,95,130,115,0,35,0
040130610413,1450,570,620,195,4,15,30
040130610414,760,280,450,35,0,0,0
040130610421,260,20,245,0,0,0,0
040130610422,285,0,285,0,0,0,0
040130610423,290,10,280,4,0,0,0
040130610424,895,415,460,20,0,0,0
040130610431,810,345,395,65,0,4,0
040130610432,790,165,560,60,0,4,0
040130610441,2440,245,1570,520,0,75,30
040130610442,1595,255,1110,90,0,30,0
040130610443,1920,630,1180,0,0,110,0
040130610451,1545,265,1175,0,0,105,0
040130610452,2025,110,1885,0,0,20,0
040130610453,1520,255,1190,70,0,10,0
040130610461,1280,495,515,175,20,55,0
040130610462,2745,995,1340,270,25,25,0
040130610471,1930,425,1025,210,70,90,0
040130610472,605,260,280,20,0,45,0
040130611001,680,45,420,140,0,25,0
040130611002,300,40,230,4,10,10,0
040130611003,695,110,360,100,0,30,0
040130612001,815,350,315,135,0,10,0
040130612002,540,405,115,10,15,0,0
040130612003,1295,565,425,220,45,0,0
040130612004,540,320,210,0,10,0,0
040130613001,1170,565,515,65,0,10,0
040130614011,460,370,60,0,30,0,0
040130614012,780,465,160,155,0,0,0
040130614021,960,725,175,15,10,0,0
040130614022,1270,965,140,165,0,0,0
040130614023,1035,510,240,205,25,25,20
040130715031,680,55,625,0,0,0,0
040130715032,755,0,725,0,0,20,10
040130715033,810,20,790,0,0,0,0
040130715034,2315,20,2250,15,0,30,0
040130715041,680,15,670,0,0,0,0
040130715042,915,0,900,0,0,15,0
040130715043,685,0,685,0,0,0,0
040130715044,1085,0,1085,0,0,0,0
040130715051,2395,295,2070,0,0,15,0
040130715052,760,20,725,0,15,0,0
040130715053,1390,145,1180,35,0,15,0
040130715054,1795,80,1625,75,15,0,0
040130715061,870,0,855,15,0,0,0
040130715062,1585,140,1325,120,0,0,0
040130715063,735,55,680,0,0,0,0
040130715064,730,20,695,15,0,0,0
040130715091,1370,190,920,85,0,95,0
040130715092,1195,35,1080,0,0,65,0
040130715093,735,125,540,50,0,0,0
040130715094,955,135,770,0,0,50,0
